t:0.024,S:4.363499444920352,Sloc:4.363499444920352,Sloc(species):0.0,Sum:4.363499444920352
t:0.0241,S:4.363499444920352,Sloc:4.363499444920352,Sloc(species):0.0,Sum:4.363499444920352
t:0.0242,S:4.363718566038933,Sloc:4.363718566038933,Sloc(species):0.0,Sum:4.363718566038933
t:0.0243,S:4.363906699269395,Sloc:4.363906699269395,Sloc(species):0.0,Sum:4.363906699269395
t:0.0244,S:4.363906699269395,Sloc:4.363906699269395,Sloc(species):0.0,Sum:4.363906699269395
t:0.0245,S:4.363906699269395,Sloc:4.363906699269395,Sloc(species):0.0,Sum:4.363906699269395
t:0.0246,S:4.363906699269395,Sloc:4.363906699269395,Sloc(species):0.0,Sum:4.363906699269395
t:0.0247,S:4.363906699269395,Sloc:4.363906699269395,Sloc(species):0.0,Sum:4.363906699269395
t:0.0248,S:4.363906699269395,Sloc:4.363906699269395,Sloc(species):0.0,Sum:4.363906699269395
t:0.0249,S:4.363906699269395,Sloc:4.363906699269395,Sloc(species):0.0,Sum:4.363906699269395
t:0.025,S:4.364369344411846,Sloc:4.364369344411846,Sloc(species):0.0,Sum:4.364369344411846
t:0.0251,S:4.364268760693491,Sloc:4.364268760693491,Sloc(species):0.0,Sum:4.364268760693491
t:0.0252,S:4.364713681905093,Sloc:4.364713681905093,Sloc(species):0.0,Sum:4.364713681905093
t:0.0253,S:4.364713681905093,Sloc:4.364713681905093,Sloc(species):0.0,Sum:4.364713681905093
t:0.0254,S:4.364792722700249,Sloc:4.364792722700249,Sloc(species):0.0,Sum:4.364792722700249
t:0.0255,S:4.364781137033994,Sloc:4.364781137033994,Sloc(species):0.0,Sum:4.364781137033994
t:0.0256,S:4.364350437681082,Sloc:4.364350437681082,Sloc(species):0.0,Sum:4.364350437681082
t:0.0257,S:4.364350437681082,Sloc:4.364350437681082,Sloc(species):0.0,Sum:4.364350437681082
t:0.0258,S:4.36417806288839,Sloc:4.36417806288839,Sloc(species):0.0,Sum:4.36417806288839
t:0.0259,S:4.364317717613312,Sloc:4.364317717613312,Sloc(species):0.0,Sum:4.364317717613312
t:0.026,S:4.364160933321831,Sloc:4.364160933321831,Sloc(species):0.0,Sum:4.364160933321831
t:0.0261,S:4.364160933321831,Sloc:4.364160933321831,Sloc(species):0.0,Sum:4.364160933321831
t:0.0262,S:4.364185180174137,Sloc:4.364185180174137,Sloc(species):0.0,Sum:4.364185180174137
